scraped_at,url,review_date,author,rating,title,content
2026-08-23T05:24:59.197Z,https://www.vitaminstore.nl/product/vitaminstore-vegan-d3-25-mcg-vegan-vitamine-d-1000-ie-vegicaps-1304516,16 juli 2024,Paul,5,Ook al lekker kelin,Ook deze plantaardige vitamine D zit in super kleine capsules die héél gemakkelijk zijn in te nemen...bijvoorkeur samen met de eveneens kleine K2-capsules!
2026-08-23T05:24:59.197Z,https://www.vitaminstore.nl/product/vitaminstore-vegan-d3-25-mcg-vegan-vitamine-d-1000-ie-vegicaps-1304516,08 mei 2024,Simone,4,Prima,I.v.m. {***} klachten.
2026-08-23T05:25:01.823Z,https://www.vitaminstore.nl/product/solgar-vitamins-liquid-vitamin-d-3-vloeibare-vitamine-d-druppels-216034,04 augustus 2026,Diren,5,tevreden,heel goed product
2026-08-23T05:25:01.823Z,https://www.vitaminstore.nl/product/solgar-vitamins-liquid-vitamin-d-3-vloeibare-vitamine-d-druppels-216034,01 juni 2026,Anoniem,5,Fijne Vitamine D,"Fijne Vitamine D, gebruik ik al een hele tijd. Geen last van bijwerkingen."
2026-08-23T05:25:01.823Z,https://www.vitaminstore.nl/product/solgar-vitamins-liquid-vitamin-d-3-vloeibare-vitamine-d-druppels-216034,22 februari 2026,Monika,5,Super,Good product
2026-08-23T05:25:01.823Z,https://www.vitaminstore.nl/product/solgar-vitamins-liquid-vitamin-d-3-vloeibare-vitamine-d-druppels-216034,29 november 2025,Linda,5,Fijner dan tabletten,Mijn vit D waarde is mooi gestegen in de afgelopen maanden. Prettige druppels met subtiele sinaasappel smaak
2026-08-23T05:25:01.823Z,https://www.vitaminstore.nl/product/solgar-vitamins-liquid-vitamin-d-3-vloeibare-vitamine-d-druppels-216034,18 november 2025,Anoniem,5,Favoriet!,Al jaren lang gebruiker van het merk Solgar.
2026-08-23T05:25:04.624Z,https://www.vitaminstore.nl/product/essential-organics-puur-plantaardige-d3-forte-75-mcg-3000-ie-vegicaps-289477,08 januari 2025,Anoniem,5,Goed produkt,"Doet zijn werk, maar wel prijzig"
2026-08-23T05:25:04.624Z,https://www.vitaminstore.nl/product/essential-organics-puur-plantaardige-d3-forte-75-mcg-3000-ie-vegicaps-289477,30 december 2024,Widjawatie,4,Vitamine d,Zijn heel goed
2026-08-23T05:25:04.624Z,https://www.vitaminstore.nl/product/essential-organics-puur-plantaardige-d3-forte-75-mcg-3000-ie-vegicaps-289477,23 augustus 2024,sabine,5,"Goeie , plantaardige D3 voor het immuunsysteem",Dit is de enige D3 die ik goed lijk op te nemen. Gemaakt van mosjes. Hoog gedoseerd. Fijn merk.
2026-08-23T05:25:12.622Z,https://www.vitaminstore.nl/product/orthica-dino-d-kauwtabletten-kauwtabletten-266335,20 juli 2024,Fokje,5,Lekker,"Mijn kinderen kauwen deze tabletjes zonder morren op, ze vinden ze lekker"
2026-08-23T05:25:12.622Z,https://www.vitaminstore.nl/product/orthica-dino-d-kauwtabletten-kauwtabletten-266335,24 juli 2020,Anoniem,5,Vitamine d,"Ik geef de kinderen elke dag na het ontbijt hun dino ei ;), behalve op zeer zomerse dagen krijgen ze geen eitje. Ze spelen sowieso elke dag in de tuin, maar een extraatje kan geen kwaad op de bewolkte dagen. Deze blijf ik (vooral in de wintermaanden) kopen."
2026-08-23T05:25:15.308Z,https://www.vitaminstore.nl/product/now-vitamine-d3-1000-ie-softgels-211322,09 februari 2025,Agnes,5,Top,Tevreden over de d3
2026-08-23T05:25:15.308Z,https://www.vitaminstore.nl/product/now-vitamine-d3-1000-ie-softgels-211322,08 december 2024,Angelique,5,Fijn,Fijne shampoo endoet wat het moet doen
2026-08-23T05:25:15.308Z,https://www.vitaminstore.nl/product/now-vitamine-d3-1000-ie-softgels-211322,29 september 2017,Y,5,Y,Goed product
2026-08-23T05:25:15.308Z,https://www.vitaminstore.nl/product/now-vitamine-d3-1000-ie-softgels-211322,13 mei 2015,Etty Stuit,4,"nog niet te vroeg juichen, maar toch....",Mijn chiropraktor adviseerde mij Vitamine D3 te nemen. Ik gebruik sinds een aantal weken 1 per dag en mijn loopneus met hierbij een lichte allergie is aanmerkelijk beter geworden.
2026-08-23T05:25:17.951Z,https://www.vitaminstore.nl/product/lamberts-vitamine-d3-3000ie-75-mcg-capsules-276718,12 februari 2024,J,5,vitamine D3 3000i e Lamberts,ik ben super tevreden met deze vitamine capsueles
2026-08-23T05:25:17.951Z,https://www.vitaminstore.nl/product/lamberts-vitamine-d3-3000ie-75-mcg-capsules-276718,31 juli 2017,Marjolein,5,goed product,dit product gebruiken we al jaren - en blijft tevredenstellend
2026-08-23T05:25:20.603Z,https://www.vitaminstore.nl/product/bonusan-vitamine-d3-k2-softgels-1306459,10 juni 2026,Anoniem,5,Werkt goed,Mijn {***} is weer op orde door deze pillen.
2026-08-23T05:25:20.603Z,https://www.vitaminstore.nl/product/bonusan-vitamine-d3-k2-softgels-1306459,25 mei 2026,Wieger,5,Top,Goed product
2026-08-23T05:25:20.603Z,https://www.vitaminstore.nl/product/bonusan-vitamine-d3-k2-softgels-1306459,09 maart 2026,Anoniem,5,Goed product,Aanbevolen door mijn voedingsdeskundige.
2026-08-23T05:25:20.603Z,https://www.vitaminstore.nl/product/bonusan-vitamine-d3-k2-softgels-1306459,02 februari 2026,Pauline,5,Goed opneembaar,"Als eigen merk is deze ook erg goed opneembaar, wat fijn is voor de wintermaanden"
2026-08-23T05:25:20.603Z,https://www.vitaminstore.nl/product/bonusan-vitamine-d3-k2-softgels-1306459,17 oktober 2025,Anoniem,5,Goed product,Goed {***}
2026-08-23T05:25:28.546Z,https://www.vitaminstore.nl/product/solgar-vitamins-vitamin-d-3-25-ug1000-iu-vitamine-d-kauwtablet-kauwtabletten-257947,06 februari 2025,Angelique,5,Goede tabletten,Al jaren in gebruik bij de kinderen
2026-08-23T05:25:28.546Z,https://www.vitaminstore.nl/product/solgar-vitamins-vitamin-d-3-25-ug1000-iu-vitamine-d-kauwtablet-kauwtabletten-257947,07 december 2024,Ine,5,Prima kauwtabletten,"Ik slik deze sinds Corona, iedere avond voor het toetje. Het bevalt prima!"
2026-08-23T05:25:28.546Z,https://www.vitaminstore.nl/product/solgar-vitamins-vitamin-d-3-25-ug1000-iu-vitamine-d-kauwtablet-kauwtabletten-257947,06 december 2024,Henny,5,Makkelijker een kauwtablet,Makkelijk in te nemen smaakt zoet
2026-08-23T05:25:28.546Z,https://www.vitaminstore.nl/product/solgar-vitamins-vitamin-d-3-25-ug1000-iu-vitamine-d-kauwtablet-kauwtabletten-257947,18 november 2024,vika,5,one of the tastiest vitamines,good for the kiids because it is tasty
2026-08-23T05:25:28.546Z,https://www.vitaminstore.nl/product/solgar-vitamins-vitamin-d-3-25-ug1000-iu-vitamine-d-kauwtablet-kauwtabletten-257947,18 mei 2022,Lies,5,Uitstekend,Ik gebruik deze kauwtabletten al jaren en bevalt mij prima en ook goed  in te zetten in  najaar en winter.
2026-08-23T05:25:31.191Z,https://www.vitaminstore.nl/product/vitakruid-vitamine-d3-25mcg-k2-40mcg-tabletten-1310414,08 mei 2026,Anoniem,4,top,fijn ecombi van vit d en k2. Kleine tabletten en dus fijn in gebruik
2026-08-23T05:25:36.434Z,https://www.vitaminstore.nl/product/vitaminstore-vitamine-d3-25-mcg-softgels-1309927,17 mei 2026,Nicolette,5,Daily fav,Deze gebruik ik al jaren in mijn dagelijkse dosis vitamines.
2026-08-23T05:25:36.434Z,https://www.vitaminstore.nl/product/vitaminstore-vitamine-d3-25-mcg-softgels-1309927,05 januari 2026,Nicolette,5,Fijn product,Erg blij mee
2026-08-23T05:25:36.434Z,https://www.vitaminstore.nl/product/vitaminstore-vitamine-d3-25-mcg-softgels-1309927,05 december 2025,Sylvia,5,Goed product,Goed product en snel geleverd. Ik slik het als  50 mcg
2026-08-23T05:25:36.434Z,https://www.vitaminstore.nl/product/vitaminstore-vitamine-d3-25-mcg-softgels-1309927,30 november 2025,Nicolette,4,Doet wat het moet doen,"Ik ben fan van de vitamines van vitamine store, goede prijs kwaliteit verhouding"
